timestamp	clocks.sm	clocks.mem	power.draw	temperature.gpu	clocks_throttle_reasons.active	clocks_throttle_reasons.sw_power_cap	clocks_throttle_reasons.hw_slowdown	clocks_throttle_reasons.sw_thermal_slowdown	utilization.gpu
2026/09/22 07:52:55.442	2760.0	13801.0	600.06	55.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:55.542	2760.0	13801.0	600.06	55.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:55.642	2760.0	13801.0	600.1	55.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:55.742	2760.0	13801.0	600.1	55.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:55.842	2760.0	13801.0	600.1	55.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:55.943	2760.0	13801.0	600.1	55.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:56.043	2760.0	13801.0	600.1	55.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:56.143	2760.0	13801.0	600.01	55.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:56.243	2760.0	13801.0	600.01	55.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:56.343	2760.0	13801.0	600.01	55.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:56.444	2760.0	13801.0	600.01	55.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:56.544	2760.0	13801.0	600.01	55.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:56.644	2760.0	13801.0	599.95	55.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:56.744	2760.0	13801.0	599.95	55.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:56.844	2760.0	13801.0	599.95	55.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:56.945	2760.0	13801.0	599.95	55.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:57.045	2760.0	13801.0	599.95	55.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:57.145	2760.0	13801.0	599.97	55.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:57.245	2760.0	13801.0	599.97	55.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:57.345	2760.0	13801.0	599.97	55.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:57.446	2760.0	13801.0	599.97	55.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:57.546	2760.0	13801.0	599.97	55.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:57.646	2760.0	13801.0	599.98	55.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:57.746	2760.0	13801.0	599.98	55.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:57.846	2760.0	13801.0	599.98	56.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:57.947	2760.0	13801.0	599.98	56.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:58.047	2760.0	13801.0	599.98	56.0	0x0000000000000004	Active	Not Active	Not Active	100.0
